Molecule_Name,OCNT_ID,pEC50
OADMET-0005455,OCNT-2313982,5.09
OADMET-0005454,OCNT-2313957,4.69
OADMET-0005453,OCNT-2313938,4.93
OADMET-0005452,OCNT-2313929,4.61
OADMET-0005451,OCNT-2313928,4.3
OADMET-0005450,OCNT-2313920,5.43
OADMET-0005449,OCNT-2313916,5.32
OADMET-0005448,OCNT-2313915,5.31
OADMET-0005447,OCNT-2313907,5.07
OADMET-0005446,OCNT-2313892,5.24
OADMET-0005445,OCNT-2313891,4.5
OADMET-0005444,OCNT-2313884,4.57
OADMET-0005443,OCNT-2313883,5.61
OADMET-0005442,OCNT-2313877,5.03
OADMET-0005441,OCNT-2313857,4.56
OADMET-0005440,OCNT-2313847,5.01
OADMET-0005439,OCNT-2313846,4.46
OADMET-0005438,OCNT-2313837,4.63
OADMET-0005437,OCNT-2313826,5.16
OADMET-0005436,OCNT-2313820,4.58
OADMET-0005435,OCNT-2313815,5.18
OADMET-0005434,OCNT-2313800,5.01
OADMET-0005433,OCNT-2313784,4.78
OADMET-0005432,OCNT-2313783,5.48
OADMET-0005431,OCNT-2313779,5.04
OADMET-0005430,OCNT-2313768,4.75
OADMET-0005429,OCNT-2313763,4.97
OADMET-0005428,OCNT-2313758,5.0
OADMET-0005427,OCNT-2313750,4.7
OADMET-0005426,OCNT-2313749,5.16
OADMET-0005425,OCNT-2313743,5.88
OADMET-0005424,OCNT-2313734,3.9
OADMET-0005423,OCNT-2313726,5.19
OADMET-0005422,OCNT-2313722,4.86
OADMET-0005421,OCNT-2313718,4.68
OADMET-0005420,OCNT-2313705,5.25
OADMET-0005419,OCNT-2313698,5.38
OADMET-0005418,OCNT-2313685,4.84
OADMET-0005417,OCNT-2313683,4.88
OADMET-0005416,OCNT-2313679,5.28
OADMET-0005415,OCNT-2313671,4.79
OADMET-0005414,OCNT-2313670,4.42
OADMET-0005413,OCNT-2313663,4.22
OADMET-0005412,OCNT-2313645,4.89
OADMET-0005411,OCNT-2313644,4.91
OADMET-0005410,OCNT-2313639,5.15
OADMET-0005409,OCNT-2313637,4.89
OADMET-0005408,OCNT-2313631,5.82
OADMET-0005407,OCNT-2313630,5.17
OADMET-0005406,OCNT-2313603,4.69
OADMET-0005405,OCNT-2313586,4.56
OADMET-0005404,OCNT-2313585,5.31
OADMET-0005403,OCNT-2313576,4.98
OADMET-0005402,OCNT-2313574,5.1
OADMET-0005401,OCNT-2313563,4.15
OADMET-0005400,OCNT-2313554,4.83
OADMET-0005399,OCNT-2313537,4.98
OADMET-0005398,OCNT-2313533,4.93
OADMET-0005397,OCNT-2313531,4.53
OADMET-0005396,OCNT-2313523,4.29
OADMET-0005395,OCNT-2313508,4.2
OADMET-0005394,OCNT-2313497,5.26
OADMET-0005393,OCNT-2313496,4.4
OADMET-0005392,OCNT-2313494,4.43
OADMET-0005391,OCNT-2313487,4.54
OADMET-0005390,OCNT-2313469,3.34
OADMET-0005389,OCNT-2313466,4.87
OADMET-0005388,OCNT-2313457,6.06
OADMET-0005387,OCNT-2313452,4.79
OADMET-0005386,OCNT-2313442,4.88
OADMET-0005385,OCNT-2313427,4.57
OADMET-0005384,OCNT-2313419,4.62
OADMET-0005383,OCNT-2313402,4.18
OADMET-0005382,OCNT-2313398,4.74
OADMET-0005381,OCNT-2313397,4.59
OADMET-0005380,OCNT-2313396,4.16
OADMET-0005379,OCNT-2313395,4.34
OADMET-0005378,OCNT-2313394,4.89
OADMET-0005377,OCNT-2313385,4.91
OADMET-0005376,OCNT-2313383,4.8
OADMET-0005375,OCNT-2313382,4.53
OADMET-0005374,OCNT-2313376,4.68
OADMET-0005373,OCNT-2313375,5.19
OADMET-0005372,OCNT-2313371,5.23
OADMET-0005371,OCNT-2313358,4.69
OADMET-0005370,OCNT-2313345,4.5
OADMET-0005369,OCNT-2313340,4.15
OADMET-0005368,OCNT-2313337,3.98
OADMET-0005367,OCNT-2313336,4.75
OADMET-0005366,OCNT-2313334,4.83
OADMET-0005365,OCNT-2313329,4.9
OADMET-0005364,OCNT-2313316,4.62
OADMET-0005363,OCNT-2313315,4.84
OADMET-0005362,OCNT-2313310,4.58
OADMET-0005361,OCNT-2313309,5.11
OADMET-0005360,OCNT-2313298,3.98
OADMET-0005359,OCNT-2313290,4.47
OADMET-0005358,OCNT-2313284,4.43
OADMET-0005357,OCNT-2313275,4.78
OADMET-0005356,OCNT-2313273,4.72
OADMET-0005355,OCNT-2313271,4.41
OADMET-0005354,OCNT-2313251,4.45
OADMET-0005353,OCNT-2313246,4.26
OADMET-0005352,OCNT-2313245,5.17
OADMET-0005351,OCNT-2313240,4.41
OADMET-0005350,OCNT-2313233,4.71
OADMET-0005349,OCNT-2313226,4.8
OADMET-0005348,OCNT-2313216,4.5
OADMET-0005347,OCNT-2313210,4.51
OADMET-0005346,OCNT-2313209,4.51
OADMET-0005345,OCNT-2313208,4.87
OADMET-0005344,OCNT-2313206,5.04
OADMET-0005343,OCNT-2313196,3.98
OADMET-0005342,OCNT-2313181,5.2
OADMET-0005341,OCNT-2313179,4.33
OADMET-0005340,OCNT-2313177,4.22
OADMET-0005339,OCNT-2313176,4.44
OADMET-0005338,OCNT-2313171,5.06
OADMET-0005337,OCNT-2313168,4.87
OADMET-0005336,OCNT-2313167,4.75
OADMET-0005335,OCNT-2313165,4.35
OADMET-0005334,OCNT-2313164,4.47
OADMET-0005333,OCNT-2313163,5.27
OADMET-0005332,OCNT-2313153,4.98
OADMET-0005331,OCNT-2313150,4.46
OADMET-0005330,OCNT-2313135,4.21
OADMET-0005329,OCNT-2313124,4.62
OADMET-0005328,OCNT-2313120,4.74
OADMET-0005327,OCNT-2313117,4.4
OADMET-0005326,OCNT-2313110,4.4
OADMET-0005325,OCNT-2313107,5.14
OADMET-0005324,OCNT-2313096,4.08
OADMET-0005323,OCNT-2313093,5.02
OADMET-0005322,OCNT-2313084,4.88
OADMET-0005321,OCNT-2313077,4.29
OADMET-0005320,OCNT-2313076,4.54
OADMET-0005319,OCNT-2313065,5.04
OADMET-0005318,OCNT-2313053,4.42
OADMET-0005317,OCNT-2313049,5.34
OADMET-0005316,OCNT-2313042,5.07
OADMET-0005315,OCNT-2313031,4.77
OADMET-0005314,OCNT-2313029,4.34
OADMET-0005313,OCNT-2313027,5.06
OADMET-0005312,OCNT-2313017,4.57
OADMET-0005311,OCNT-2313002,4.7
OADMET-0005310,OCNT-2312999,5.14
OADMET-0005309,OCNT-2312991,4.64
OADMET-0005308,OCNT-2312988,4.49
OADMET-0005307,OCNT-2312987,4.55
OADMET-0005306,OCNT-2312966,5.16
OADMET-0005305,OCNT-2312964,4.64
OADMET-0005304,OCNT-2312963,4.6
OADMET-0005303,OCNT-2312946,4.98
OADMET-0005302,OCNT-2312945,4.96
OADMET-0005301,OCNT-2312943,4.68
OADMET-0005300,OCNT-2312935,4.38
OADMET-0005299,OCNT-2312926,4.56
OADMET-0005298,OCNT-2312925,4.26
OADMET-0005297,OCNT-2312920,5.23
OADMET-0005296,OCNT-2312919,4.43
OADMET-0005295,OCNT-2312918,5.27
OADMET-0005294,OCNT-2312912,4.97
OADMET-0005293,OCNT-2312909,4.6
OADMET-0005292,OCNT-2312906,4.39
OADMET-0005291,OCNT-2312897,4.65
OADMET-0005290,OCNT-2312892,5.16
OADMET-0005289,OCNT-2312886,5.12
OADMET-0005288,OCNT-2312884,4.53
OADMET-0005287,OCNT-2312882,4.73
OADMET-0005286,OCNT-2312876,3.26
OADMET-0005285,OCNT-2312873,4.79
OADMET-0005284,OCNT-2312851,4.93
OADMET-0005283,OCNT-2312845,4.46
OADMET-0005282,OCNT-2312844,4.54
OADMET-0005281,OCNT-2312840,4.42
OADMET-0005280,OCNT-2312828,5.02
OADMET-0005279,OCNT-2312820,5.39
OADMET-0005278,OCNT-2312815,4.78
OADMET-0005277,OCNT-2312807,4.38
OADMET-0005276,OCNT-2312801,4.92
OADMET-0005275,OCNT-2312796,4.43
OADMET-0005274,OCNT-2312782,4.26
OADMET-0005273,OCNT-2312778,4.13
OADMET-0005272,OCNT-2312776,4.3
OADMET-0005271,OCNT-2312771,4.45
OADMET-0005270,OCNT-2312764,4.28
OADMET-0005269,OCNT-2312763,4.58
OADMET-0005268,OCNT-2312761,4.73
OADMET-0005267,OCNT-2312756,4.24
OADMET-0005266,OCNT-2312749,5.09
OADMET-0005265,OCNT-2312741,5.0
OADMET-0005264,OCNT-2312738,4.75
OADMET-0005263,OCNT-2312736,5.08
OADMET-0005262,OCNT-2312724,4.24
OADMET-0005261,OCNT-2312722,5.05
OADMET-0005260,OCNT-2312720,4.55
OADMET-0005259,OCNT-2312719,4.38
OADMET-0005258,OCNT-2312717,4.36
OADMET-0005257,OCNT-2312712,5.46
OADMET-0005256,OCNT-2312707,4.93
OADMET-0005255,OCNT-2312706,5.3
OADMET-0005254,OCNT-2312704,4.04
OADMET-0005253,OCNT-2312702,4.51
OADMET-0005252,OCNT-2312690,4.86
OADMET-0005251,OCNT-2312684,4.53
OADMET-0005250,OCNT-2312681,4.35
OADMET-0005249,OCNT-2312676,4.7
OADMET-0005248,OCNT-2312675,4.53
OADMET-0005247,OCNT-2312665,4.72
OADMET-0005246,OCNT-2312663,4.81
OADMET-0005245,OCNT-2312662,5.01
OADMET-0005244,OCNT-2312659,4.81
OADMET-0005243,OCNT-2312654,3.98
OADMET-0005242,OCNT-2312645,4.46
OADMET-0005241,OCNT-2312641,4.3
OADMET-0005240,OCNT-2312639,4.24
OADMET-0005239,OCNT-2312638,5.15
OADMET-0005238,OCNT-2312637,4.73
OADMET-0005237,OCNT-2312625,4.47
OADMET-0005236,OCNT-2312622,5.19
OADMET-0005235,OCNT-2312616,4.54
OADMET-0005234,OCNT-2312607,4.87
OADMET-0005233,OCNT-2312568,4.88
OADMET-0005232,OCNT-2312551,5.45
OADMET-0005231,OCNT-2312538,4.81
OADMET-0005230,OCNT-2312523,5.21
OADMET-0005229,OCNT-2312489,4.6
OADMET-0005228,OCNT-2312478,4.89
OADMET-0005227,OCNT-2312472,4.63
OADMET-0005226,OCNT-2312465,4.2
OADMET-0005225,OCNT-2312464,4.62
OADMET-0005224,OCNT-2312445,4.91
OADMET-0005223,OCNT-2312443,5.2
OADMET-0005222,OCNT-2312441,5.48
OADMET-0005221,OCNT-2312432,5.04
OADMET-0005220,OCNT-2312425,5.16
OADMET-0005219,OCNT-2312397,4.16
OADMET-0005218,OCNT-2312390,5.57
OADMET-0005217,OCNT-2312385,4.47
OADMET-0005216,OCNT-2312378,4.14
OADMET-0005215,OCNT-2312373,4.65
OADMET-0005214,OCNT-2312370,5.12
OADMET-0005213,OCNT-2312357,5.15
OADMET-0005212,OCNT-2312354,4.87
OADMET-0005211,OCNT-2312352,4.46
OADMET-0005210,OCNT-2312347,4.52
OADMET-0005209,OCNT-2312339,4.57
OADMET-0005208,OCNT-2312337,4.93
OADMET-0005207,OCNT-2312333,4.3
OADMET-0005206,OCNT-2312323,5.13
OADMET-0005205,OCNT-2312304,4.34
OADMET-0005204,OCNT-2312301,4.61
OADMET-0005203,OCNT-2312293,4.57
OADMET-0005202,OCNT-2312291,4.47
OADMET-0005201,OCNT-2312278,4.31
OADMET-0005200,OCNT-2312275,5.33
OADMET-0005199,OCNT-2312274,4.58
OADMET-0005198,OCNT-2312240,4.8
OADMET-0005197,OCNT-2312236,4.44
OADMET-0005196,OCNT-2312234,5.07
OADMET-0005195,OCNT-2312231,4.26
OADMET-0005194,OCNT-2312201,4.92
OADMET-0005193,OCNT-2312176,4.81
OADMET-0005192,OCNT-2312167,4.39
OADMET-0005191,OCNT-2312161,5.21
OADMET-0005190,OCNT-2312143,5.57
OADMET-0005189,OCNT-2312131,4.37
OADMET-0005188,OCNT-2312128,4.78
OADMET-0005187,OCNT-2312126,5.2
OADMET-0005186,OCNT-2312122,4.4
OADMET-0005185,OCNT-2312105,4.5
OADMET-0005184,OCNT-2312094,4.82
OADMET-0005183,OCNT-2312089,4.46
OADMET-0005182,OCNT-2312085,4.87
OADMET-0005181,OCNT-2312073,5.33
OADMET-0005180,OCNT-2312046,4.86
OADMET-0005179,OCNT-2312044,5.21
OADMET-0005178,OCNT-2312032,5.0
OADMET-0005177,OCNT-2312030,5.21
OADMET-0005176,OCNT-2312023,4.86
OADMET-0005175,OCNT-2311998,4.2
OADMET-0005174,OCNT-2311993,4.62
OADMET-0005173,OCNT-2311973,4.82
OADMET-0005172,OCNT-2311972,5.2
OADMET-0005171,OCNT-2311959,4.72
OADMET-0005170,OCNT-2311957,5.14
OADMET-0005169,OCNT-2311952,4.87
OADMET-0005168,OCNT-2311951,4.95
OADMET-0005167,OCNT-2311950,5.28
OADMET-0005166,OCNT-2311948,5.37
OADMET-0005165,OCNT-2311937,5.25
OADMET-0005164,OCNT-2311929,4.84
OADMET-0005163,OCNT-2311919,4.54
OADMET-0005162,OCNT-2311918,4.9
OADMET-0005161,OCNT-2311898,5.07
OADMET-0005160,OCNT-2311892,4.49
OADMET-0005159,OCNT-2311886,4.4
OADMET-0005158,OCNT-2311872,4.61
OADMET-0005157,OCNT-2311858,4.8
OADMET-0005156,OCNT-2311856,4.31
OADMET-0005155,OCNT-2311844,4.83
OADMET-0005154,OCNT-2311837,4.89
OADMET-0005153,OCNT-2311815,4.53
OADMET-0005152,OCNT-2311807,5.06
OADMET-0005151,OCNT-2311792,4.83
OADMET-0005150,OCNT-2311783,5.02
OADMET-0005149,OCNT-2311782,4.64
OADMET-0005148,OCNT-2311766,4.92
OADMET-0005147,OCNT-2311763,4.62
OADMET-0005146,OCNT-2311760,4.45
OADMET-0005145,OCNT-2311759,4.99
OADMET-0005144,OCNT-2311757,4.6
OADMET-0005143,OCNT-2311742,4.63
OADMET-0005142,OCNT-2311739,4.49
OADMET-0005141,OCNT-2311737,4.8
OADMET-0005140,OCNT-2311732,4.87
OADMET-0005139,OCNT-2311727,5.12
OADMET-0005138,OCNT-2311725,4.84
OADMET-0005137,OCNT-2311720,5.44
OADMET-0005136,OCNT-2311716,5.05
OADMET-0005135,OCNT-2311706,4.34
OADMET-0005134,OCNT-2311703,4.42
OADMET-0005133,OCNT-2311699,5.03
OADMET-0005132,OCNT-2311695,5.33
OADMET-0005131,OCNT-2311689,4.46
OADMET-0005130,OCNT-2311685,5.1
OADMET-0005129,OCNT-2311671,5.01
OADMET-0005128,OCNT-2311667,5.46
OADMET-0005127,OCNT-2311661,5.25
OADMET-0005126,OCNT-2311658,4.15
OADMET-0005125,OCNT-2311657,4.67
OADMET-0005124,OCNT-2311656,4.5
OADMET-0005123,OCNT-2311655,4.6
OADMET-0005122,OCNT-2311632,4.52
OADMET-0005121,OCNT-2311631,4.94
OADMET-0005120,OCNT-2311627,4.19
OADMET-0005119,OCNT-2311615,4.97
OADMET-0005118,OCNT-2311591,4.36
OADMET-0005117,OCNT-2311587,4.46
OADMET-0005116,OCNT-2311557,5.3
OADMET-0005115,OCNT-2311550,5.12
OADMET-0005114,OCNT-2311547,4.01
OADMET-0005113,OCNT-2311523,4.23
OADMET-0005112,OCNT-2311474,4.26
OADMET-0005111,OCNT-2311469,5.19
OADMET-0005110,OCNT-2311460,4.93
OADMET-0005109,OCNT-2311456,5.3
OADMET-0005108,OCNT-2311453,5.1
OADMET-0005107,OCNT-2311452,5.03
OADMET-0005106,OCNT-2311436,4.73
OADMET-0005105,OCNT-2311435,5.15
OADMET-0005104,OCNT-2311425,5.26
OADMET-0005103,OCNT-2311409,5.06
OADMET-0005102,OCNT-2311402,5.09
OADMET-0005101,OCNT-2311385,4.57
OADMET-0005100,OCNT-2311382,4.44
OADMET-0005099,OCNT-2311355,4.84
OADMET-0005098,OCNT-2311353,5.09
OADMET-0005097,OCNT-2311335,4.73
OADMET-0005096,OCNT-2311327,5.23
OADMET-0005095,OCNT-2311313,5.47
OADMET-0005094,OCNT-2311312,5.24
OADMET-0005093,OCNT-2311304,5.31
OADMET-0005092,OCNT-2311292,4.73
OADMET-0005091,OCNT-2311291,5.31
OADMET-0005090,OCNT-2311284,5.44
OADMET-0005089,OCNT-2311281,5.06
OADMET-0005088,OCNT-2311272,4.57
OADMET-0005087,OCNT-2311261,5.0
OADMET-0005086,OCNT-2311258,3.99
OADMET-0005085,OCNT-2311241,5.25
OADMET-0005084,OCNT-2311238,4.58
OADMET-0005083,OCNT-2311214,4.27
OADMET-0005082,OCNT-2311212,5.32
OADMET-0005081,OCNT-2311178,4.91
OADMET-0005080,OCNT-2311168,4.43
OADMET-0005079,OCNT-2311167,4.94
OADMET-0005078,OCNT-2311160,5.24
OADMET-0005077,OCNT-2311153,5.07
OADMET-0005076,OCNT-2311143,4.35
OADMET-0005075,OCNT-2311101,5.18
OADMET-0005074,OCNT-2311099,5.08
OADMET-0005073,OCNT-2311082,4.85
OADMET-0005072,OCNT-2311079,5.06
OADMET-0005071,OCNT-2311077,4.41
OADMET-0005070,OCNT-2311067,5.3
OADMET-0005069,OCNT-2311052,5.02
OADMET-0005068,OCNT-2311051,5.43
OADMET-0005067,OCNT-2311049,4.73
OADMET-0005066,OCNT-2311042,4.72
OADMET-0005065,OCNT-2311037,5.19
OADMET-0005064,OCNT-2311030,4.99
OADMET-0005063,OCNT-2311015,4.33
OADMET-0005062,OCNT-2311010,4.99
OADMET-0005061,OCNT-2310992,5.39
OADMET-0005060,OCNT-2310987,5.25
OADMET-0005059,OCNT-2310986,4.92
OADMET-0005058,OCNT-2310966,4.96
OADMET-0005057,OCNT-2310962,4.26
OADMET-0005056,OCNT-2310947,4.83
OADMET-0005055,OCNT-2310934,4.83
OADMET-0005054,OCNT-2310931,4.79
OADMET-0005053,OCNT-2310929,4.95
OADMET-0005052,OCNT-2310920,4.82
OADMET-0005051,OCNT-2310900,4.84
OADMET-0005050,OCNT-2310896,5.22
OADMET-0005049,OCNT-2310888,4.21
OADMET-0005048,OCNT-2310884,5.05
OADMET-0005047,OCNT-2310880,4.88
OADMET-0005046,OCNT-2310868,5.1
OADMET-0005045,OCNT-2310854,5.05
OADMET-0005044,OCNT-2310845,4.84
OADMET-0005043,OCNT-2310833,4.94
OADMET-0005042,OCNT-2310804,4.69
OADMET-0005041,OCNT-2310803,4.63
OADMET-0005040,OCNT-2310788,4.68
OADMET-0005039,OCNT-2310781,4.57
OADMET-0005038,OCNT-2310770,4.86
OADMET-0005037,OCNT-2310747,4.09
OADMET-0005036,OCNT-2310729,4.93
OADMET-0005035,OCNT-2310728,4.54
OADMET-0005034,OCNT-2310711,4.88
OADMET-0005033,OCNT-2310706,4.83
OADMET-0005032,OCNT-2310696,4.82
OADMET-0005031,OCNT-2310695,4.53
OADMET-0005030,OCNT-2310689,5.07
OADMET-0005029,OCNT-2310688,4.73
OADMET-0005028,OCNT-2310676,5.3
OADMET-0005027,OCNT-2310646,5.69
OADMET-0005026,OCNT-2310631,5.0
OADMET-0005025,OCNT-2310615,4.71
OADMET-0005024,OCNT-2310611,5.02
OADMET-0005023,OCNT-2310606,5.23
OADMET-0005022,OCNT-2310601,4.74
OADMET-0005021,OCNT-2310591,5.0
OADMET-0005020,OCNT-2310584,5.24
OADMET-0005019,OCNT-2310577,5.38
OADMET-0005018,OCNT-2310566,4.7
OADMET-0005017,OCNT-2310564,5.14
OADMET-0005016,OCNT-2310562,5.13
OADMET-0005015,OCNT-2310561,4.8
OADMET-0005014,OCNT-2310551,4.66
OADMET-0005013,OCNT-2310543,4.7
OADMET-0005012,OCNT-2310539,5.33
OADMET-0005011,OCNT-2310520,4.51
OADMET-0005010,OCNT-2310517,4.61
OADMET-0005009,OCNT-2310483,5.09
OADMET-0005008,OCNT-2310478,4.57
OADMET-0005007,OCNT-2310459,4.82
OADMET-0005006,OCNT-2310458,5.05
OADMET-0005005,OCNT-2310455,5.0
OADMET-0005004,OCNT-2310446,4.35
OADMET-0005003,OCNT-2310445,4.81
OADMET-0005002,OCNT-2310427,4.87
OADMET-0005001,OCNT-2310425,4.63
OADMET-0005000,OCNT-2310419,4.57
OADMET-0004999,OCNT-2310407,4.99
OADMET-0004998,OCNT-2310406,5.08
OADMET-0004997,OCNT-2310396,5.02
OADMET-0004996,OCNT-2310395,5.03
OADMET-0004995,OCNT-2310391,5.34
OADMET-0004994,OCNT-2310382,5.16
OADMET-0004993,OCNT-2310372,4.65
OADMET-0004992,OCNT-2310366,4.78
OADMET-0004991,OCNT-2310360,5.41
OADMET-0004990,OCNT-2310354,5.51
OADMET-0004989,OCNT-2310348,5.56
OADMET-0004988,OCNT-2310333,4.87
OADMET-0004987,OCNT-2310330,5.23
OADMET-0004986,OCNT-2310328,4.87
OADMET-0004985,OCNT-2310319,4.78
OADMET-0004984,OCNT-2310317,5.33
OADMET-0004983,OCNT-2310316,4.65
OADMET-0004982,OCNT-2310309,4.47
OADMET-0004981,OCNT-2310293,5.53
OADMET-0004980,OCNT-2310289,5.35
OADMET-0004979,OCNT-2310284,4.2
OADMET-0004978,OCNT-2310261,5.05
OADMET-0004977,OCNT-2310257,5.33
OADMET-0004976,OCNT-2310252,4.56
OADMET-0004975,OCNT-2310227,4.6
OADMET-0004974,OCNT-2310222,4.98
OADMET-0004973,OCNT-2310197,5.21
OADMET-0004972,OCNT-2310195,4.24
OADMET-0004971,OCNT-2310194,4.6
OADMET-0004970,OCNT-2310185,5.22
OADMET-0004969,OCNT-2310184,4.97
OADMET-0004968,OCNT-2310160,4.73
OADMET-0004967,OCNT-2310145,4.8
OADMET-0004966,OCNT-2310125,5.15
OADMET-0004965,OCNT-2310121,4.93
OADMET-0004964,OCNT-2310119,5.21
OADMET-0004963,OCNT-2310081,4.78
OADMET-0004962,OCNT-2310077,4.27
OADMET-0004961,OCNT-2310061,4.67
OADMET-0004960,OCNT-2310060,5.39
OADMET-0004959,OCNT-2310044,4.68
OADMET-0004958,OCNT-2310021,4.97
OADMET-0004957,OCNT-2310019,4.95
OADMET-0004956,OCNT-2310013,5.42
OADMET-0004955,OCNT-2310010,4.57
OADMET-0004954,OCNT-2310007,5.03
OADMET-0004953,OCNT-2310004,4.6
OADMET-0004952,OCNT-2310000,5.03
OADMET-0004951,OCNT-2309996,4.56
OADMET-0004950,OCNT-2309995,5.33
OADMET-0004949,OCNT-2309993,4.9
OADMET-0004948,OCNT-2309974,4.54
OADMET-0004947,OCNT-2309973,4.89
OADMET-0004946,OCNT-2309972,4.56
OADMET-0004945,OCNT-2309970,5.51
OADMET-0004944,OCNT-2309967,4.37
OADMET-0004943,OCNT-2309965,5.2
OADMET-0004942,OCNT-2309964,5.06
OADMET-0004941,OCNT-2309951,5.24
OADMET-0004940,OCNT-2309948,5.67
OADMET-0004939,OCNT-2309947,4.71
OADMET-0004938,OCNT-2309944,5.01
OADMET-0004937,OCNT-2309925,4.9
OADMET-0004936,OCNT-2309915,3.97
OADMET-0004935,OCNT-2309912,3.78
OADMET-0004934,OCNT-2309908,4.83
OADMET-0004933,OCNT-2309896,5.33
OADMET-0004932,OCNT-2309891,5.49
OADMET-0004931,OCNT-2309887,5.36
OADMET-0004930,OCNT-2309880,4.1
OADMET-0004929,OCNT-2309876,4.81
OADMET-0004928,OCNT-2309875,5.55
OADMET-0004927,OCNT-2309864,4.81
OADMET-0004926,OCNT-2309863,5.54
OADMET-0004925,OCNT-2309860,5.2
OADMET-0004924,OCNT-2309856,4.3
OADMET-0004923,OCNT-2309854,4.4
OADMET-0004922,OCNT-2309850,5.34
OADMET-0004921,OCNT-2309844,4.72
OADMET-0004920,OCNT-2309825,4.68
OADMET-0004919,OCNT-2309815,4.65
OADMET-0004918,OCNT-2309813,4.53
OADMET-0004917,OCNT-2309812,4.65
OADMET-0004916,OCNT-2309806,4.79
OADMET-0004915,OCNT-2309802,5.19
OADMET-0004914,OCNT-2309796,5.16
OADMET-0004913,OCNT-2309795,5.23
OADMET-0004912,OCNT-2309794,5.47
OADMET-0004911,OCNT-2309788,5.16
OADMET-0004910,OCNT-2309783,5.09
OADMET-0004909,OCNT-2309782,5.15
OADMET-0004908,OCNT-2309774,5.58
OADMET-0004907,OCNT-2309772,4.76
OADMET-0004906,OCNT-2309757,5.1
OADMET-0004905,OCNT-2309735,5.08
OADMET-0004904,OCNT-2309728,4.86
OADMET-0004903,OCNT-2309726,4.51
OADMET-0004902,OCNT-2309723,4.98
OADMET-0004901,OCNT-2309721,4.66
OADMET-0004900,OCNT-2309718,4.73
OADMET-0004899,OCNT-2309701,4.73
OADMET-0004898,OCNT-2309698,4.56
OADMET-0004897,OCNT-2309693,5.12
OADMET-0004896,OCNT-2309692,4.77
OADMET-0004895,OCNT-2309689,4.63
OADMET-0004894,OCNT-2309687,4.73
OADMET-0004893,OCNT-2309686,5.17
OADMET-0004892,OCNT-2309676,5.08
OADMET-0004891,OCNT-2309675,4.7
OADMET-0004890,OCNT-2309667,4.66
OADMET-0004889,OCNT-2309664,4.38
OADMET-0004888,OCNT-2309663,4.59
OADMET-0004887,OCNT-2309654,5.02
OADMET-0004886,OCNT-2309653,4.25
OADMET-0004885,OCNT-2309648,4.72
OADMET-0004884,OCNT-2309643,5.09
OADMET-0004883,OCNT-2309639,4.76
OADMET-0004882,OCNT-2309638,4.49
OADMET-0004881,OCNT-2309637,4.42
OADMET-0004880,OCNT-2309619,4.93
OADMET-0004879,OCNT-2309615,4.86
OADMET-0004878,OCNT-2309604,4.72
OADMET-0004877,OCNT-2309602,4.11
OADMET-0004876,OCNT-2309596,4.8
OADMET-0004875,OCNT-2309590,4.65
OADMET-0004874,OCNT-2309587,4.89
OADMET-0004873,OCNT-2309582,5.01
OADMET-0004872,OCNT-2309573,4.77
OADMET-0004871,OCNT-2309562,5.27
OADMET-0004870,OCNT-2309559,4.79
OADMET-0004869,OCNT-2309557,4.92
OADMET-0004868,OCNT-2309556,4.71
OADMET-0004867,OCNT-2309552,4.05
OADMET-0004866,OCNT-2309544,4.51
OADMET-0004865,OCNT-2309540,5.37
OADMET-0004864,OCNT-2309531,4.2
OADMET-0004863,OCNT-2309527,4.9
OADMET-0004862,OCNT-2309526,4.54
OADMET-0004861,OCNT-2309522,5.52
OADMET-0004860,OCNT-2309520,4.22
OADMET-0004859,OCNT-2309514,5.29
OADMET-0004858,OCNT-2309512,5.27
OADMET-0004857,OCNT-2309511,4.97
OADMET-0004856,OCNT-2309509,4.49
OADMET-0004855,OCNT-2309503,4.97
OADMET-0004854,OCNT-2309502,4.05
OADMET-0004853,OCNT-2309499,4.37
OADMET-0004852,OCNT-2309492,5.61
OADMET-0004851,OCNT-2309483,4.86
OADMET-0004850,OCNT-2309481,5.0
OADMET-0004849,OCNT-2309477,4.3
OADMET-0004848,OCNT-2309476,4.81
OADMET-0004847,OCNT-2309469,4.48
OADMET-0004846,OCNT-2309468,4.95
OADMET-0004845,OCNT-2309465,5.4
OADMET-0004844,OCNT-2309464,5.37
OADMET-0004843,OCNT-2309462,5.24
OADMET-0004842,OCNT-2309457,5.11
OADMET-0004841,OCNT-2309453,5.41
OADMET-0004840,OCNT-2309448,4.95
OADMET-0004839,OCNT-2309444,5.06
OADMET-0004838,OCNT-2309441,5.09
OADMET-0004837,OCNT-2309434,5.37
OADMET-0004836,OCNT-2309429,4.11
OADMET-0004835,OCNT-2309419,5.28
OADMET-0004834,OCNT-2309407,4.64
OADMET-0004833,OCNT-2309401,5.21
OADMET-0004832,OCNT-2309398,4.81
OADMET-0004831,OCNT-2309390,4.42
OADMET-0004830,OCNT-2309389,4.67
OADMET-0004829,OCNT-2309387,4.49
OADMET-0004828,OCNT-2309372,4.46
OADMET-0004827,OCNT-2309367,4.97
OADMET-0004826,OCNT-2309357,5.03
OADMET-0004825,OCNT-2309351,5.3
OADMET-0004824,OCNT-2309348,4.13
OADMET-0004823,OCNT-2309346,4.24
OADMET-0004822,OCNT-2309339,3.92
OADMET-0004821,OCNT-2309336,4.73
